index,Title,Year,IMDb,Netflix,Hulu,Prime Video,Disney+,Directors
319,Den of Thieves,2018,7.0,1,0,0,0,Christian Gudegast
320,Wadjda,2012,7.5,1,0,0,0,Haifaa Al-Mansour
321,The Spiderwick Chronicles,2008,6.5,1,0,0,0,Mark Waters
322,The Christmas Chronicles,2018,7.1,1,0,1,0,Clay Kaytis
323,Turbo,2013,6.4,1,0,0,0,David Soren
324,My Girl,1991,6.9,1,0,0,0,Howard Zieff
325,22-Jul,2018,6.8,1,0,0,0,Paul Greengrass
326,Adam Sandler: 100% Fresh,2018,7.6,1,0,0,0,"Steven Brill,Nicholaus Goossen"
327,Remember,2015,7.5,1,0,1,0,Atom Egoyan
328,Triple Frontier,2019,6.4,1,0,0,0,J.C. Chandor
329,Bombshell: The Hedy Lamarr Story,2018,7.4,1,0,0,0,Alexandra Dean
330,Paddleton,2019,7.2,1,0,0,0,Alex Lehmann
331,Bad Boys II,2003,6.6,1,0,0,0,Michael Bay
332,Sour Grapes,2016,7.3,1,0,0,0,Larry David
333,Betting on Zero,2017,7.2,1,0,0,0,Ted Braun
334,Delhi Belly,2011,7.5,1,0,0,0,"Abhinay Deo,Akshat Verma"
335,Being Elmo: A Puppeteer's Journey,2011,7.6,1,0,0,0,"Constance Marks,Philip Shane"
336,Williams,2017,7.6,1,0,0,0,Morgan Matthews
337,It Comes at Night,2017,6.2,1,0,0,0,Trey Edward Shults
338,Cuba and the Cameraman,2017,8.2,1,0,0,0,Jon Alpert
339,Creep,2014,6.3,1,0,0,0,Patrick Brice
340,The Interview,2014,6.5,1,1,1,0,"Evan Goldberg,Seth Rogen"
341,Bobby Robson: More Than a Manager,2018,8.2,1,0,0,0,"Gabriel Clarke,Torquil Jones"
342,Outbreak,1995,6.6,1,0,0,0,Wolfgang Petersen
343,Black Snake Moan,2006,6.9,1,0,1,0,Craig Brewer
344,Bright,2017,6.3,1,0,0,0,David Ayer
345,Cargo,2017,6.3,1,0,1,0,"Ben Howling,Yolanda Ramke"
346,Even the Rain,2010,7.4,1,0,0,0,Icíar Bollaín
347,Candyman,1992,6.6,1,0,0,0,Bernard Rose
348,Mary and the Witch's Flower,2017,6.8,1,0,0,0,"Hiromasa Yonebayashi,Giles New"
349,Calibre,2018,6.7,1,0,0,0,Matt Palmer
350,First They Killed My Father,2017,7.2,1,0,0,0,Angelina Jolie
351,Us and Them,2018,7.3,1,0,0,0,Rene Liu
352,Up in Smoke,1978,7.0,1,0,0,0,"Lou Adler,Tommy Chong"
353,Final Destination,2000,6.7,1,0,0,0,James Wong
354,Kill the Messenger,2014,6.9,1,0,0,0,Michael Cuesta
355,Operation Odessa,2018,7.8,1,0,0,0,Tiller Russell
356,The American Meme,2018,7.3,1,0,0,0,Bert Marcus
357,Outlaw King,2018,6.9,1,0,0,0,David Mackenzie
358,21,2008,6.8,1,0,0,0,Robert Luketic
359,Holding the Man,2015,7.4,1,0,0,0,Neil Armfield
360,Krisha,2016,7.2,1,0,0,0,Trey Edward Shults
361,De Palma,2016,7.4,1,0,0,0,"Noah Baumbach,Jake Paltrow"
362,Dear Ex,2018,7.4,1,0,0,0,"Chih-Yen Hsu,Mag Hsu"
363,Tomorrow Never Dies,1997,6.5,1,0,0,0,Roger Spottiswoode
